,glo_avg,dir_avg,diff_avg,lw_avg,par_avg,lux_avg,tp_sfc,humid,press,rain,ws_10m,wd_10m
8342,327.0,80.8,258.7,374.5,660.6,34.41,20.21,88.5,902.27,0.0,0.37,4.4
8343,323.7,71.2,262.9,374.0,654.0,34.06,20.26,88.4,902.27,0.0,0.3670000000000001,15.5
8344,334.3,80.4,267.7,373.4,678.6,35.3,20.26,88.2,902.21,0.0,0.3829999999999999,37.7
8345,364.3,113.7,272.0,372.7,735.0,38.3,20.34,87.8,902.21,0.0,0.426,22.3
8346,367.1,112.2,276.7,371.8,739.0,38.53,20.36,88.2,902.15,0.0,0.848,11.6
8347,362.3,104.5,279.3,371.5,734.0,38.21,20.37,87.7,902.21,0.0,0.589,14.8
8348,374.8,118.7,282.5,371.7,756.0,39.36,20.36,87.8,902.15,0.0,0.584,2.6
8349,372.3,116.2,283.1,372.4,748.0,38.91,20.42,87.9,902.21,0.0,0.446,5.8
8350,343.8,78.1,283.6,374.8,691.7,35.93,20.47,87.8,902.15,0.0,0.54,358.5
8351,326.5,58.12,282.4,375.6,662.7,34.32,20.5,87.4,902.21,0.0,0.6809999999999999,7.6
8352,332.5,68.82,281.0,372.9,670.8,34.77,20.49,87.2,902.21,0.0,0.6779999999999999,350.5
8353,313.2,50.99,275.1,372.3,632.7,32.73,20.44,86.9,902.15,0.0,0.431,351.8
8354,307.8,46.8,272.9,371.1,621.9,32.14,20.54,87.5,902.15,0.0,0.8109999999999999,1.1
8355,307.8,48.78,271.6,370.7,623.0,32.19,20.52,86.8,902.15,0.0,0.7490000000000001,12.6
8356,313.9,61.79,268.8,369.4,636.2,32.9,20.54,86.7,902.15,0.0,1.086,5.4
8357,310.3,62.05,265.1,369.4,629.1,32.5,20.62,86.2,902.09,0.0,1.042,7.8
8358,297.6,49.67,261.3,369.2,603.6,31.12,20.52,85.5,902.09,0.0,0.7559999999999999,12.7
8359,289.1,43.74,257.5,369.3,587.6,30.25,20.54,85.5,902.09,0.0,0.883,0.2
8360,286.6,45.95,254.1,369.6,583.6,30.04,20.7,85.7,902.02,0.0,0.894,354.9
8361,279.0,40.26,250.6,369.4,568.6,29.22,20.65,86.2,902.09,0.0,0.767,345.2
8362,268.3,28.36,247.5,369.1,546.6,28.03,20.78,85.6,902.08,0.0,0.858,6.4
8363,260.6,22.17,243.8,368.6,532.1,27.24,20.78,85.4,902.08,0.0,0.599,5.0
8364,253.4,17.4,239.7,367.7,517.9,26.47,20.88,86.0,902.14,0.0,0.6970000000000001,3.8
8365,245.8,12.69,235.2,367.4,503.0,25.67,20.78,84.7,902.08,0.0,0.565,7.6
8366,239.1,9.21,230.6,367.1,490.1,24.98,20.95,84.8,902.08,0.0,0.6779999999999999,18.9
8367,233.1,6.919,226.1,367.3,478.5,24.35,20.93,84.5,902.08,0.0,0.551,17.6
8368,227.8,5.944,221.6,367.2,467.8,23.81,21.03,84.8,902.14,0.0,0.573,10.1
8369,223.1,5.43,217.2,367.2,458.5,23.32,21.01,84.4,902.14,0.0,0.642,7.8
8370,218.5,5.174,212.7,367.1,450.1,22.85,21.01,84.1,902.2,0.0,0.8029999999999999,358.8
8371,213.8,4.65,208.3,367.5,440.5,22.35,21.0,82.9,902.14,0.0,0.8909999999999999,355.3
8372,209.0,4.101,203.7,367.8,430.7,21.86,20.91,83.2,902.14,0.0,1.004,353.7
8373,204.2,3.768,199.0,368.0,420.7,21.37,21.0,83.6,902.14,0.0,0.72,357.6
8374,199.3,3.843,194.2,368.7,410.6,20.87,21.03,82.9,902.13,0.0,0.672,345.8
8375,194.3,3.556,189.3,369.2,400.4,20.37,21.01,83.2,902.13,0.0,0.768,347.5
8376,189.4,3.287,184.5,370.3,390.3,19.87,21.08,82.2,902.19,0.0,0.6809999999999999,338.8
8377,184.8,2.756,180.0,371.4,380.6,19.4,21.13,83.9,902.25,0.0,0.805,18.5
8378,180.2,2.272,175.5,372.0,371.3,18.94,21.18,84.6,902.31,0.0,0.445,26.3
8379,175.8,2.201,171.3,372.6,362.4,18.46,21.14,84.8,902.31,0.0,0.857,19.8
8380,171.6,1.805,167.3,373.4,353.8,17.95,21.09,84.0,902.44,0.0,0.743,16.1
8381,167.9,1.765,163.7,374.3,346.9,17.41,21.14,83.5,902.44,0.0,0.488,35.1
8382,164.5,1.839,160.4,374.2,342.0,17.07,21.13,84.5,902.44,0.0,0.813,25.7
8383,161.4,1.717,157.3,374.9,335.6,16.8,21.13,84.0,902.43,0.0,0.855,30.7
8384,158.7,1.635,154.6,375.1,330.1,16.55,21.13,84.0,902.49,0.0,0.737,33.5
8385,156.6,2.013,152.3,375.0,325.6,16.34,21.04,83.5,902.49,0.0,0.607,32.6
8386,154.9,2.759,150.3,375.3,322.1,16.19,21.04,83.5,902.49,0.0,0.551,25.5
8387,153.1,3.372,148.2,375.4,318.4,16.03,21.16,83.9,902.49,0.0,0.72,24.7
8388,150.9,3.274,146.1,375.7,313.8,15.81,21.14,83.4,902.55,0.0,0.633,25.5
8389,148.3,2.48,144.0,376.2,308.2,15.53,21.08,83.5,902.55,0.0,0.512,33.4
8390,146.3,2.715,142.1,376.4,304.2,15.33,21.06,83.8,902.55,0.0,0.45,30.9
8391,144.7,2.814,140.5,376.6,301.1,15.25,21.16,83.9,902.55,0.0,0.809,23.9
8392,143.4,2.34,139.4,377.0,298.5,15.14,21.11,83.5,902.61,0.0,0.836,29.4
8393,142.3,2.088,138.5,376.9,296.3,15.03,21.13,83.3,902.55,0.0,0.59,5.0
8394,141.2,2.044,137.5,377.1,294.3,14.92,21.08,83.2,902.67,0.0,0.6579999999999999,14.5
8395,139.9,2.027,136.3,377.1,291.9,14.8,21.19,83.5,902.66,0.0,0.748,14.8
8396,138.6,2.044,135.0,377.3,289.3,14.67,21.12,83.1,902.66,0.0,0.626,15.3
8397,137.3,2.136,133.8,377.1,286.7,14.53,21.14,83.2,902.72,0.0,0.76,23.8
8398,136.1,1.921,132.6,377.1,284.3,14.41,21.21,82.9,902.72,0.0,0.8109999999999999,25.1
8399,135.0,1.839,131.7,377.1,282.1,14.3,21.16,82.6,902.78,0.0,0.67,21.0
8400,134.1,1.839,130.8,376.8,280.2,14.21,21.24,82.8,902.85,0.0,0.595,10.0
8401,133.2,1.901,129.9,376.6,278.4,14.12,21.24,82.5,902.85,0.0,0.512,18.1
8402,132.1,2.04,128.9,376.5,276.2,14.0,21.22,82.5,902.91,0.0,0.41,21.4
8403,130.7,2.044,127.5,376.3,273.3,13.85,21.31,82.6,902.91,0.0,0.5760000000000001,36.4
8404,129.2,1.914,126.0,376.2,270.2,13.69,21.29,82.8,902.85,0.0,0.4379999999999999,42.1
8405,127.5,1.839,124.4,376.2,266.8,13.52,21.26,82.6,902.91,0.0,0.5429999999999999,51.0
8406,125.9,2.006,122.9,376.3,263.5,13.35,21.31,83.4,902.91,0.0,0.384,48.9
8407,124.6,2.231,121.7,376.1,261.1,13.23,21.27,83.5,902.91,0.0,0.287,50.5
8408,123.9,1.996,121.0,376.3,259.6,13.16,21.34,82.8,902.9,0.0,0.239,56.5
8409,123.3,1.843,120.5,376.3,258.5,13.09,21.34,82.3,902.9,0.0,0.363,44.7
8410,122.7,2.112,119.8,376.0,257.1,13.02,21.19,82.9,902.9,0.0,0.483,43.7
8411,121.7,2.299,118.8,375.8,255.2,12.92,21.34,82.7,902.96,0.0,0.504,34.1
8412,120.6,2.5610000000000004,117.7,375.9,252.8,12.8,21.22,82.2,903.02,0.0,0.331,36.7
8413,119.5,2.9330000000000003,116.5,376.2,250.8,12.69,21.29,82.1,903.02,0.0,0.222,18.2
8414,118.8,3.215,115.8,376.3,249.3,12.62,21.35,82.5,903.02,0.0,0.371,3.5
8415,118.0,3.069,115.1,376.4,247.8,12.55,21.35,82.5,903.08,0.0,0.639,4.6
8416,117.6,2.7110000000000003,114.8,376.5,247.0,12.5,21.29,82.3,903.02,0.0,0.5479999999999999,2.4
8417,117.7,2.657,115.0,376.3,247.3,12.52,21.29,82.4,903.09,0.0,0.461,10.8
8418,118.3,2.888,115.6,376.1,248.5,12.58,21.29,82.9,903.03,0.0,0.3329999999999999,354.0
8419,119.4,3.28,116.5,376.0,250.6,12.7,21.45,83.3,903.03,0.0,0.591,11.3
8420,121.2,4.551,117.9,376.2,254.1,12.9,21.35,82.5,903.03,0.0,0.564,17.3
8421,125.4,11.96,119.6,376.2,262.7,13.39,21.37,82.8,903.02,0.0,0.4639999999999999,25.2
8422,129.5,19.99,121.1,376.1,270.6,13.83,21.35,81.9,903.02,0.0,0.288,24.3
8423,128.3,13.84,122.0,376.1,267.3,13.64,21.32,81.6,903.08,0.0,0.327,15.8
8424,126.5,7.93,122.4,376.4,263.4,13.43,21.3,81.0,903.02,0.0,0.426,8.8
8425,126.1,7.26,122.3,376.4,262.3,13.36,21.39,81.0,903.02,0.0,0.357,13.7
8426,126.0,7.58,122.2,376.3,262.0,13.26,21.32,81.0,903.02,0.0,0.208,14.5
8427,127.0,11.73,122.0,376.1,264.4,13.48,21.34,81.0,903.02,0.0,0.138,18.8
8428,126.7,13.55,121.3,375.9,263.8,13.47,21.32,81.6,903.02,0.0,0.319,15.7
